Date,Soil Moisture
2016/01/01,28.96
2016/01/02,28.38
2016/01/04,25.52
2016/01/05,24.21
2016/01/06,23.0
2016/01/08,21.41
2016/01/09,20.3
2016/01/10,19.2
2016/01/12,17.17
2016/01/13,16.22
2016/01/14,15.31
2016/01/16,13.65
2016/01/17,12.89
2016/01/18,12.17
2016/01/20,11.03
2016/01/21,10.46
2016/01/22,9.87
2016/01/24,8.85
2016/01/25,8.33
2016/01/26,8.06
2016/01/28,7.04
2016/01/29,6.57
2016/01/30,6.12
2016/02/01,5.29
2016/02/02,4.9
2016/02/03,4.55
2016/02/05,3.92
2016/02/06,3.64
2016/02/07,3.37
2016/02/09,2.9
2016/02/10,2.68
2016/02/11,2.47
2016/02/13,2.1
2016/02/14,1.93
2016/02/15,1.78
2016/02/16,1.64
2016/02/18,1.39
2016/02/19,1.27
2016/02/20,1.17
2016/02/22,0.97
2016/02/23,0.88
2016/02/24,0.81
2016/02/26,0.68
2016/02/27,0.62
2016/02/28,0.57
2016/03/01,0.5
2016/03/02,0.45
2016/03/03,0.41
2016/03/05,0.32
2016/03/06,0.31
2016/03/07,0.27
2016/03/09,0.22
2016/03/10,0.19
2016/03/11,0.17
2016/03/13,0.16
2016/03/14,0.14
2016/03/15,0.13
2016/03/17,0.63
2016/03/18,0.6
2016/03/19,0.57
2016/03/21,0.52
2016/03/22,0.49
2016/03/23,0.43
2016/03/25,0.33
2016/03/26,0.29
2016/03/27,0.26
2016/03/29,0.2
2016/03/30,0.18
2016/03/31,0.15
2016/04/02,0.12
2016/04/03,0.11
2016/04/04,0.09
2016/04/06,0.07
2016/04/07,0.06
2016/04/08,0.06
2016/04/10,0.04
2016/04/11,0.04
2016/04/12,0.03
2016/04/14,0.03
2016/04/15,0.02
2016/04/16,0.02
2016/04/18,0.02
2016/04/19,0.01
2016/04/20,0.01
2016/04/22,0.009
2016/04/23,0.008
2016/04/24,0.007
2016/04/26,0.006
2016/04/27,0.005
2016/04/28,0.004
2016/04/30,0.004
2016/05/01,0.003
2016/05/02,0.003
2016/05/04,0.002
2016/05/05,1.19
2016/05/06,20.93
2016/05/08,20.86
2016/05/09,19.84
2016/05/10,18.06
2016/05/12,14.89
2016/05/13,13.38
2016/05/14,12.69
2016/05/15,13.28
2016/05/17,70.48
2016/05/18,68.54
2016/05/19,67.12
2016/05/21,55.93
2016/05/22,51.43
2016/05/23,47.22
2016/05/25,39.73
2016/05/26,36.37
2016/05/27,38.98
2016/05/29,40.66
2016/05/30,37.37
2016/05/31,40.4
2016/06/02,68.05
2016/06/03,67.83
2016/06/04,66.09
2016/06/06,70.16
2016/06/07,70.05
2016/06/08,70.11
2016/06/10,70.05
2016/06/11,68.71
2016/06/12,66.56
2016/06/14,57.08
2016/06/15,57.6
2016/06/16,56.29
2016/06/18,54.42
2016/06/19,63.75
2016/06/20,70.17
2016/06/22,70.11
2016/06/23,69.34
2016/06/24,67.96
2016/06/26,69.84
2016/06/27,70.17
2016/06/28,70.07
2016/06/30,70.21
2016/07/01,68.44
2016/07/02,66.5
2016/07/04,60.68
2016/07/05,58.74
2016/07/06,58.98
2016/07/08,64.06
2016/07/09,61.91
2016/07/10,59.0
2016/07/12,55.16
2016/07/13,54.58
2016/07/14,53.26
2016/07/16,67.99
2016/07/17,64.84
2016/07/17,64.84
2016/07/20,63.48
2016/07/21,68.22
2016/07/22,65.52
2016/07/24,64.26
2016/07/25,64.2
2016/07/26,62.02
2016/07/28,62.05
2016/07/29,61.63
2016/07/30,65.26
2016/08/01,59.26
2016/08/02,57.37
2016/08/04,53.62
2016/08/05,51.24
2016/08/06,48.52
2016/08/07,45.85
2016/08/09,43.51
2016/08/10,43.01
2016/08/11,42.53
2016/08/12,43.58
2016/08/14,42.62
2016/08/15,42.12
2016/08/16,41.7
2016/08/18,40.85
2016/08/19,40.44
2016/08/20,40.26
2016/08/22,44.17
2016/08/23,47.83
2016/08/24,47.72
2016/08/26,51.19
2016/08/27,56.83
2016/08/28,56.52
2016/08/30,70.44
2016/08/31,68.42
2016/09/01,70.14
2016/09/03,67.97
2016/09/04,67.88
2016/09/05,63.93
2016/09/07,58.13
2016/09/08,56.39
2016/09/09,55.1
2016/09/11,65.8
2016/09/12,62.77
2016/09/13,61.39
2016/09/15,64.68
2016/09/16,67.22
2016/09/17,65.73
2016/09/19,61.74
2016/09/20,60.73
2016/09/21,60.93
2016/09/23,56.04
2016/09/24,53.83
2016/09/25,51.61
2016/09/27,69.12
2016/09/28,70.24
2016/09/29,70.13
2016/10/01,64.89
2016/10/02,61.44
2016/10/03,58.67
2016/10/05,54.16
2016/10/06,51.98
2016/10/07,51.28
2016/10/09,50.05
2016/10/10,55.05
2016/10/11,54.05
2016/10/13,58.94
2016/10/14,56.57
2016/10/15,54.94
2016/10/17,51.98
2016/10/18,49.92
2016/10/19,47.81
2016/10/21,46.9
2016/10/22,46.61
2016/10/23,45.73
2016/10/25,43.88
2016/10/26,42.99
2016/10/27,42.49
2016/10/29,42.27
2016/10/30,42.03
2016/10/31,42.31
2016/11/03,46.55
2016/11/03,46.55
2016/11/04,45.95
2016/11/05,44.99
2016/11/07,42.5
2016/11/08,42.12
2016/11/09,41.9
2016/11/11,41.45
2016/11/12,41.23
2016/11/13,41.17
2016/11/15,40.77
2016/11/16,40.58
2016/11/17,40.4
2016/11/19,40.41
2016/11/20,41.51
2016/11/21,40.49
2016/11/23,40.11
2016/11/24,39.93
2016/11/25,39.76
2016/11/27,39.62
2016/11/28,39.58
2016/11/29,39.54
2016/12/01,42.65
2016/12/02,58.01
2016/12/03,55.85
2016/12/05,55.19
2016/12/06,52.98
2016/12/07,50.91
2016/12/09,47.04
2016/12/10,45.14
2016/12/11,44.26
2016/12/13,64.41
2016/12/14,62.8
2016/12/15,60.32
2016/12/17,55.95
2016/12/18,53.78
2016/12/19,52.92
2016/12/21,48.68
2016/12/22,46.74
2016/12/23,44.75
2016/12/25,40.92
2016/12/26,39.07
2016/12/27,37.82
2016/12/29,36.39
2016/12/30,35.38
2016/12/31,34.98
2017/01/02,34.89
2017/01/03,34.82
2017/01/04,34.74
2017/01/06,34.6
2017/01/07,23.84
2017/01/08,34.46
2017/01/10,34.31
2017/01/11,34.24
2017/01/12,17.88
2017/01/14,16.07
2017/01/15,15.68
2017/01/16,14.79
2017/01/18,13.08
2017/01/19,12.41
2017/01/20,11.72
2017/01/22,10.4
2017/01/23,9.76
2017/01/24,9.16
2017/01/26,8.1
2017/01/27,41.09
2017/01/28,39.0
2017/01/30,34.73
2017/01/31,32.68
2017/02/01,30.7
2017/02/02,28.82
2017/02/04,25.38
2017/02/05,23.79
2017/02/06,22.23
2017/02/08,19.36
2017/02/09,18.07
2017/02/10,16.84
2017/02/12,14.63
2017/02/13,13.65
2017/02/14,12.82
2017/02/16,11.13
2017/02/17,10.32
2017/02/18,9.55
2017/02/20,8.08
2017/02/21,7.42
2017/02/22,6.81
2017/02/24,5.74
2017/02/25,5.27
2017/02/26,5.12
2017/02/28,4.49
2017/03/01,4.11
2017/03/02,4.93
2017/03/04,4.81
2017/03/05,4.4
2017/03/06,4.23
2017/03/08,5.14
2017/03/09,4.74
2017/03/10,8.71
2017/03/12,7.4
2017/03/13,6.81
2017/03/14,6.76
2017/03/16,5.66
2017/03/17,5.14
2017/03/18,4.68
2017/03/20,3.82
2017/03/21,3.46
2017/03/22,3.12
2017/03/24,2.49
2017/03/25,2.22
2017/03/26,1.98
2017/03/28,1.56
2017/03/29,1.39
2017/03/30,1.23
2017/04/01,0.97
2017/04/02,0.86
2017/04/03,0.76
2017/04/05,0.6
2017/04/06,0.54
2017/04/07,0.47
2017/04/09,0.4
2017/04/10,0.35
2017/04/11,0.31
2017/04/13,0.24
2017/04/14,1.22
2017/04/15,1.07
2017/04/17,0.89
2017/04/18,0.78
2017/04/19,0.7
2017/04/21,0.97
2017/04/22,0.86
2017/04/23,0.76
2017/04/25,24.88
2017/04/26,22.7
2017/04/27,20.69
2017/04/29,16.88
2017/04/30,15.38
2017/05/01,13.95
2017/05/02,12.67
2017/05/04,10.33
2017/05/05,9.34
2017/05/06,8.43
2017/05/08,11.87
2017/05/09,15.06
2017/05/10,13.85
2017/05/12,14.65
2017/05/13,13.97
2017/05/14,12.6
2017/05/16,10.55
2017/05/17,10.41
2017/05/18,23.83
2017/05/20,70.5
2017/05/21,65.0
2017/05/22,61.72
2017/05/24,54.12
2017/05/25,50.29
2017/05/26,67.76
2017/05/28,58.04
2017/05/29,53.39
2017/05/30,49.21
2017/06/01,46.05
2017/06/02,44.36
2017/06/03,44.19
2017/06/05,42.56
2017/06/06,56.93
2017/06/07,59.36
2017/06/09,56.88
2017/06/10,55.87
2017/06/11,54.41
2017/06/13,51.35
2017/06/14,54.92
2017/06/14,54.92
